动画名称,动画url,动画总集数,动画放映时间,动画评分,动画放映类型,动画播放次数,动画原作,动画剧情类型,动画制作公司,动画监督放学后的Pleiades,http://donghua.dmzj.com/donghua_info/2078.html,7,2011-02-01,4.3,TV,50863,暂无,奇幻,GAINAX,佐伯昭志
动物频道,http://donghua.dmzj.com/donghua_info/5619.html,1,2001-01-01,3,TV,13,暂无,搞笑,暂无,暂无
亲子碰碰乐,http://donghua.dmzj.com/donghua_info/5629.html,13,2001-01-01,3,TV,0,暂无,亲子,暂无,暂无
香港大营救,http://donghua.dmzj.com/donghua_info/5630.html,1,2001-01-01,3,剧场版,233,暂无,冒险,暂无,暂无
神雕侠侣动画版,http://donghua.dmzj.com/donghua_info/6121.html,78,2001-10-11,4.7,TV,0,金庸,爱情,暂无,暂无
泰山卡通系列国语版,http://donghua.dmzj.com/donghua_info/6181.html,39,2001,3.7,TV,0,暂无,奇幻,暂无,暂无
神雕侠侣动画粤语版,http://donghua.dmzj.com/donghua_info/6122.html,78,2001-10-11,4.4,TV,0,金庸,武侠,暂无,暂无
老夫子2001,http://donghua.dmzj.com/donghua_info/5724.html,2,2001-04-05,2.3,剧场版,2822,暂无,搞笑,暂无,邱礼涛
泰山卡通系列原声版,http://donghua.dmzj.com/donghua_info/6182.html,39,2001,3,TV,0,暂无,奇幻,暂无,暂无
犬夜叉剧场版国语,http://donghua.dmzj.com/donghua_info/6158.html,4,2001-12-15,3,剧场版,34609,高橋留美子,爱情,サンライズ,篠原俊哉
独角兽传说,http://donghua.dmzj.com/donghua_info/5647.html,1,2001-01-01,3,剧场版,97,暂无,冒险,暂无,暂无
未来蝙蝠侠：小丑归来,http://donghua.dmzj.com/donghua_info/6216.html,2,2001-03-26,3,剧场版,12624,DC Comics,科幻,华纳兄弟,Curt Geda
杰克武士,http://donghua.dmzj.com/donghua_info/5991.html,13,2001-08-10,4.1,TV,5427,暂无,冒险,Cartoon Network Studios,Genndy Tartakovsky
反斗家族,http://donghua.dmzj.com/donghua_info/6630.html,52,2001-03-30,3,TV,8601,暂无,搞笑,加拿大Nelvana,Butch Hartman
小小雪精灵,http://donghua.dmzj.com/donghua_info/1255.html,26,2001-09-03,4.9,TV,10525,蒼はるか,奇幻,J.C.STAFF,木村真一郎
奥斯卡最佳动画长片,http://donghua.dmzj.com/donghua_info/3520.html,13,2001-02-25,3.4,剧场版,23277,暂无,其他,暂无,暂无
坎特维尔城堡的幽灵2001,http://donghua.dmzj.com/donghua_info/6912.html,1,2001,3,剧场版,316,奥斯卡·王尔德,奇幻,Burbank Animation Studios,暂无
恋爱占卜师国语版,http://donghua.dmzj.com/donghua_info/7037.html,51,2001-03-05,3.0,TV,0,新井清子,奇幻,テレビ東京、NAS ,三沢伸
巴比伦二世2001,http://donghua.dmzj.com/donghua_info/7057.html,13,2001-10-05,2.0,TV,7184,横山光辉,科幻,MediaNet / 圆谷映像 / VEGA entertainment,牛草健
宇宙战士零,http://donghua.dmzj.com/donghua_info/7105.html,13,2001-07-06,5.0,TV,6920,松本零士,科幻,暂无,横田和善
小姐与流浪汉2：狗儿逃家记,http://donghua.dmzj.com/donghua_info/7725.html,1,2001-02-27,5.0,剧场版,18980,暂无,搞笑,暂无,Darrell Rooney / Jeannine Roussel
杰克武士第一季国语版,http://donghua.dmzj.com/donghua_info/8195.html,13,2001-08-10,1.0,TV,0,暂无,冒险,Cartoon Network Studios,暂无
时间大使莫莫,http://donghua.dmzj.com/donghua_info/7272.html,1,2001-12-21,3,剧场版,6043,暂无,治愈,暂无,Enzo D
杰克武士第二季国语版,http://donghua.dmzj.com/donghua_info/8196.html,13,2001-08-10,5.0,TV,0,暂无,冒险,Cartoon Network Studios,暂无
赛贝索侦探队,http://donghua.dmzj.com/donghua_info/8391.html,1,2001-08-18,1.0,剧场版,250,暂无,冒险,暂无,山崎哲
辛普森一家第十三季,http://donghua.dmzj.com/donghua_info/8584.html,22,2001-11-06,3.0,TV,41190,Fox,搞笑,Fox,暂无
犬夜叉剧场版,http://donghua.dmzj.com/donghua_info/489.html,7,2001-12-15,4.7,剧场版,55739,高橋留美子,爱情,サンライズ,篠原俊哉 
破坏魔定光,http://donghua.dmzj.com/donghua_info/8624.html,10,2001-01-17,2.5,TV,0,中平正彦,冒险,スタジオディーン,大畑晃一
新世纪魔法少女,http://donghua.dmzj.com/donghua_info/9091.html,2,2001-03-07,3.0,OVA,9653,暂无,搞笑,暂无,渡边慎一
外星侵略者吉姆,http://donghua.dmzj.com/donghua_info/9366.html,37,2001-03-30,3.6,TV,9342,暂无,搞笑,暂无,Steve Ressel / Jordan Reichek
蓝精灵3,http://donghua.dmzj.com/donghua_info/6987.html,0,2015-04-01,3.7,剧场版,0,皮埃尔·库利福德,冒险,索尼动画，哥伦比亚影片,凯利·阿斯博瑞
外星侵略者吉姆第二季,http://donghua.dmzj.com/donghua_info/9769.html,10,2001,3,TV,2838,暂无,搞笑,暂无,Steve Ressel / Jordan Reichek
无敌破坏王2,http://donghua.dmzj.com/donghua_info/6990.html,0,2015,5.0,剧场版,0,暂无,搞笑,华特迪士尼动画公司,瑞奇·摩尔
秦时明月第6部之沧海横流,http://donghua.dmzj.com/donghua_info/7065.html,0,2015,4.0,TV,0,温世仁,冒险,杭州玄机科技信息技术有限公司,沈乐平
一周的朋友剧场版,http://donghua.dmzj.com/donghua_info/7251.html,1,2015,4.9,剧场版,6851,叶月抹茶,爱情,Brains･Base,岩崎太郎
洛克王国之恶运魔咒,http://donghua.dmzj.com/donghua_info/6947.html,2,2015-01,1.6,剧场版,893,暂无,奇幻,腾讯、优扬传媒、炫动卡通,暂无
兔子镇的火狐狸,http://donghua.dmzj.com/donghua_info/7493.html,1,2015-10-30,3,剧场版,327,暂无,冒险,暂无,葛水英
地球超人电影版,http://donghua.dmzj.com/donghua_info/7758.html,0,2015,3,剧场版,0,暂无,科幻,暂无,暂无
怪兽卡车,http://donghua.dmzj.com/donghua_info/7828.html,0,2015-05-29,3,剧场版,0,暂无,奇幻,暂无,克里斯·韦奇
海绵宝宝历险记2,http://donghua.dmzj.com/donghua_info/6513.html,1,2015-02-13,4.8,剧场版,3151,暂无,搞笑,Nickelodeon Movies ,Paul Tibbitt
岩浆,http://donghua.dmzj.com/donghua_info/7830.html,0,2015-06-19,3,剧场版,0,暂无,奇幻,暂无,詹姆斯·福特·墨菲
冥界管理局,http://donghua.dmzj.com/donghua_info/7829.html,0,2015-06-05,5.0,剧场版,0,暂无,奇幻,暂无,安东尼·莱昂迪斯
小麻雀找凤凰,http://donghua.dmzj.com/donghua_info/8505.html,0,2015-06-01,3,TV,0,余师夷,童话,河南省小麻雀动漫影视文化传播有限公司,熊延江
大脑环游记,http://donghua.dmzj.com/donghua_info/6930.html,1,2015-06-19,5.0,剧场版,624,暂无,搞笑,皮克斯动画工作室,彼特·道格特
黄帝史诗,http://donghua.dmzj.com/donghua_info/8273.html,1,2015-04,5.0,TV,1081,暂无,玄幻,河南多元文化传媒有限公司/北京辉煌动画公司,暂无
花生漫画大电影史努比,http://donghua.dmzj.com/donghua_info/6757.html,4,2015-11-06,4.6,剧场版,1111,查尔斯·舒尔茨,搞笑,蓝天工作室 / 二十世纪福克斯,保罗·费格
兔子帮之机械师联盟,http://donghua.dmzj.com/donghua_info/8536.html,26,2015-02-04,5.0,TV,0,十九番,搞笑,上海炫动传播股份有限公司 ,暂无
蜡笔总动员,http://donghua.dmzj.com/donghua_info/8272.html,1,2015,1.0,剧场版,402,暂无,冒险,暂无,暂无
美少女战士水晶第二季,http://donghua.dmzj.com/donghua_info/8415.html,14,2015-04-01,4.9,TV,8028,武内直子,爱情,東映アニメーション,境宗久 / 梅泽淳稔
魔女的使命OAD,http://donghua.dmzj.com/donghua_info/6473.html,2,2015-01-07,4.9,OVA,52434,水薙龙,搞笑,J.C.STAFF,水岛努
巴希库大冒险,http://donghua.dmzj.com/donghua_info/7302.html,5,2015-02,4.0,剧场版,395,暂无,冒险,恒大电影/华映星球,刘可欣
仲夏夜魔法,http://donghua.dmzj.com/donghua_info/8661.html,1,2015-01-23,5.0,TV,832,暂无,童话,卢卡斯影业,暂无
超级飞侠,http://donghua.dmzj.com/donghua_info/8701.html,27,2015-04-07,3,TV,20541,暂无,亲子,千琪动漫,李哲航
数码宝贝高清重置版,http://donghua.dmzj.com/donghua_info/8703.html,1,2015-01-07,4.9,TV,47075,本郷あきよし,冒险,東映動画,角铜博之
吉祥宝宝,http://donghua.dmzj.com/donghua_info/8711.html,26,2015-01,1.0,TV,1762,暂无,亲子,海霖动画制作有限公司,暂无
幸运派传说,http://donghua.dmzj.com/donghua_info/8705.html,1,2015-01,5.0,TV,18,暂无,冒险,蚁木木作品,暂无
噜噜米剧场版 南海的快乐假期,http://donghua.dmzj.com/donghua_info/8729.html,1,2015-02-13,5.0,剧场版,764,Tove Jansson/Lars Jansson,搞笑,暂无,暂无
正义联盟:亚特兰蒂斯王座,http://donghua.dmzj.com/donghua_info/7796.html,7,2015-01-13,3.6,TV,34387,DC Comics,冒险,华纳兄弟动画公司,杰伊·欧力瓦 / 伊桑·斯波尔丁
木头村之神奇绿色心,http://donghua.dmzj.com/donghua_info/8741.html,26,2015,3,TV,0,暂无,亲子,暂无,暂无
疯了桂宝第二季,http://donghua.dmzj.com/donghua_info/8742.html,296,2015-01,3,TV,0,暂无,搞笑,暂无,阿桂
武当虹少年,http://donghua.dmzj.com/donghua_info/8754.html,18,2015-01-23,5.0,TV,8780,暂无,冒险,今古传奇 / 武汉东尼文化,鄢元平 / 陈刚 / 薛启胜 / 张艾原
新世纪福音战士4D电影,http://donghua.dmzj.com/donghua_info/8407.html,2,2015-01-23,4.9,剧场版,58794,GAINAX,科幻,GAINAX ,庵野秀明
兔侠之青黎传说,http://donghua.dmzj.com/donghua_info/8537.html,2,2015-02,3.2,剧场版,229,暂无,搞笑,天津北方电影集团有限公司,孙立军
胖胖裤猪:香蕉王国的秘宝,http://donghua.dmzj.com/donghua_info/8599.html,2,2015-05-10,1.0,剧场版,1200,暂无,搞笑,DLE,べんぴねこ
穿靴子的猫历险记,http://donghua.dmzj.com/donghua_info/8761.html,5,2015-01-16,4.8,TV,10159,暂无,搞笑,梦工厂,暂无
比得兔,http://donghua.dmzj.com/donghua_info/8720.html,75,2015-01,5.0,TV,11103,(英)比阿特丽克斯·波特,亲子,暂无,暂无
新年来啦之文字大劫难,http://donghua.dmzj.com/donghua_info/8795.html,26,2015-02-04,5.0,TV,0,暂无,搞笑,北京国是经纬科技有限公司,周洁/杨思淳
